"obs_error","rate_of_change","fisher_min_mean","log_fisher_min_mean","regime_shift_time_mean","fisher_diff_mean","fisher_log_diff_mean"
0,5e-04,307,307,572,265,265
0,6e-04,582,593,476,-106,-117
0,7e-04,514,516,409,-105,-107
0,8e-04,472,473,358,-114,-115
0,9e-04,423,352,318,-105,-34
0,0.001,393,317,285,-108,-32
0,0.0011,367,368,261,-106,-107
0,0.0012,336,336,239,-97,-97
0,0.0013,316,246,220,-96,-26
0,0.0014,300,300,206,-94,-94
0,0.0015,293,212,190,-103,-22
0.05,5e-04,306.2,309.4,572,265.8,262.6
0.05,6e-04,573.1,594.3,476,-97.1,-118.3
0.05,7e-04,514.4,516,409,-105.4,-107
0.05,8e-04,472,473.3,358,-114,-115.3
0.05,9e-04,423.2,352.2,318,-105.2,-34.2
0.05,0.001,393.5,317,285,-108.5,-32
0.05,0.0011,367.1,368,261,-106.1,-107
0.05,0.0012,336,336,239,-97,-97
0.05,0.0013,294,245.6,220,-74,-25.6
0.05,0.0014,300,300,206,-94,-94
0.05,0.0015,293.3,211.5,190,-103.3,-21.5
0.1,5e-04,305.2,309.2,572,266.8,262.8
0.1,6e-04,576.2,592.6,476,-100.2,-116.6
0.1,7e-04,514.2,516.2,409,-105.2,-107.2
0.1,8e-04,472.3,473.3,358,-114.3,-115.3
0.1,9e-04,423.6,352,318,-105.6,-34
0.1,0.001,387.8,316.7,285,-102.8,-31.7
0.1,0.0011,367.3,368,261,-106.3,-107
0.1,0.0012,336.1,336,239,-97.1,-97
0.1,0.0013,288.8,245.9,220,-68.8,-25.9
0.1,0.0014,300.2,300,206,-94.2,-94
0.1,0.0015,274.4,211.5,190,-84.4,-21.5
0.15,5e-04,308.4,312.3,572,263.6,259.7
0.15,6e-04,577,590.5,476,-101,-114.5
0.15,7e-04,514.4,516.3,409,-105.4,-107.3
0.15,8e-04,472.1,464.7,358,-114.1,-106.7
0.15,9e-04,418.4,352,318,-100.4,-34
0.15,0.001,393.8,316.4,285,-108.8,-31.4
0.15,0.0011,367.2,368.3,261,-106.2,-107.3
0.15,0.0012,336.1,336.1,239,-97.1,-97.1
0.15,0.0013,297.9,244.9,220,-77.9,-24.9
0.15,0.0014,300.2,300,206,-94.2,-94
0.15,0.0015,236.4,211.5,190,-46.4,-21.5
0.2,5e-04,309,311.3,572,263,260.7
0.2,6e-04,570.9,592.7,476,-94.9,-116.7
0.2,7e-04,523.8,516.7,409,-114.8,-107.7
0.2,8e-04,473,456.3,358,-115,-98.3
0.2,9e-04,409.6,351.3,318,-91.6,-33.3
0.2,0.001,372,316.6,285,-87,-31.6
0.2,0.0011,368,368.2,261,-107,-107.2
0.2,0.0012,336.4,336.4,239,-97.4,-97.4
0.2,0.0013,279.4,245.1,220,-59.4,-25.1
0.2,0.0014,300.5,300.4,206,-94.5,-94.4
0.2,0.0015,209.7,210.8,190,-19.7,-20.8
0.25,5e-04,309.6,314.4,572,262.4,257.6
0.25,6e-04,577.9,595.9,476,-101.9,-119.9
0.25,7e-04,524.4,517,409,-115.4,-108
0.25,8e-04,472.5,465.2,358,-114.5,-107.2
0.25,9e-04,416.2,351.4,318,-98.2,-33.4
0.25,0.001,377,315.3,285,-92,-30.3
0.25,0.0011,368.6,368.7,261,-107.6,-107.7
0.25,0.0012,336.4,336.3,239,-97.4,-97.3
0.25,0.0013,293.7,246.1,220,-73.7,-26.1
0.25,0.0014,301.2,300.7,206,-95.2,-94.7
0.25,0.0015,203.1,211.3,190,-13.1,-21.3
0.3,5e-04,307,342,572,265,230
0.3,6e-04,578.7,593.4,476,-102.7,-117.4
0.3,7e-04,532.7,518,409,-123.7,-109
0.3,8e-04,473.1,473.9,358,-115.1,-115.9
0.3,9e-04,415.2,351,318,-97.2,-33
0.3,0.001,350.2,315.2,285,-65.2,-30.2
0.3,0.0011,368.2,369.6,261,-107.2,-108.6
0.3,0.0012,336.6,336.7,239,-97.6,-97.7
0.3,0.0013,294.6,245.7,220,-74.6,-25.7
0.3,0.0014,302,301.4,206,-96,-95.4
0.3,0.0015,229.3,228.7,190,-39.3,-38.7
